"logit_1_0";"X_INDEX";"Y_INDEX"
0;203500;4684500
0;202500;4776500
0;316500;4804500
0;332500;4126500
0;778500;4462500
0;382500;4792500
0;177500;4178500
0;348500;4470500
0;165500;4751500
0;499500;4548500
0;238500;4815500
0;250500;4259500
0;255500;4349500
0;59500;4688500
0;453500;4522500
0;192500;4753500
0;239500;4824500
0;303500;4801500
0;833500;4708500
0;154500;4302500
0;188500;4814500
0;171500;4410500
0;444500;4776500
0;169500;4159500
0;107500;4164500
0;318500;4794500
0;686500;4370500
0;301500;4798500
0;337500;4592500
0;256500;4570500
0;210500;4228500
0;475500;4771500
0;415500;4376500
0;197500;4397500
0;285500;4779500
0;393500;4798500
0;183500;4734500
0;280500;4438500
0;419500;4147500
0;209500;4786500
0;188500;4182500
0;998500;4657500
0;396500;4795500
0;209500;4761500
0;212500;4573500
0;733500;4459500
0;722500;4398500
0;219500;4483500
0;331500;4127500
0;193500;4774500
0;174500;4793500
0;281500;4352500
0;413500;4541500
0;59500;4691500
0;274500;4776500
0;351500;4447500
0;195500;4684500
0;265500;4729500
0;274500;4744500
0;219500;4416500
0;237500;4815500
0;273500;4779500
0;418500;4791500
0;363500;4794500
0;203500;4751500
0;432500;4765500
0;227500;4800500
0;174500;4805500
0;286500;4809500
0;239500;4787500
0;302500;4794500
0;170500;4342500
0;316500;4090500
0;327500;4796500
0;518500;4559500
0;88500;4754500
0;118500;4687500
0;13500;4741500
0;223500;4797500
0;61500;4689500
0;207500;4397500
0;424500;4085500
0;503500;4797500
0;118500;4826500
0;438500;4765500
0;227500;4697500
0;324500;4237500
0;396500;4756500
0;846500;4587500
0;169500;4663500
0;381500;4772500
0;168500;4660500
0;38500;4749500
0;589500;4798500
0;546500;4540500
0;482500;4785500
0;959500;4695500
0;161500;4769500
0;441500;4345500
0;186500;4323500
0;194500;4760500
0;195500;4800500
0;236500;4818500
0;824500;4561500
0;247500;4796500
0;273500;4734500
0;418500;4079500
0;232500;4704500
0;432500;4501500
0;9500;4736500
0;193500;4660500
0;316500;4766500
0;342500;4802500
0;332500;4799500
0;337500;4475500
0;217500;4357500
0;200500;4817500
0;234500;4698500
0;109500;4180500
0;71500;4705500
0;559500;4748500
0;392500;4793500
0;144500;4161500
0;769500;4720500
0;170500;4723500
0;52500;4699500
0;184500;4816500
0;304500;4048500
0;675500;4162500
0;234500;4794500
0;285500;4809500
0;272500;4453500
0;181500;4184500
0;694500;4238500
0;202500;4789500
0;442500;4806500
0;261500;4813500
0;279500;4347500
0;235500;4710500
0;430500;4082500
0;205500;4815500
0;256500;4744500
0;218500;4689500
0;199500;4687500
0;208500;4793500
0;343500;4199500
0;175500;4719500
0;603500;4778500
0;164500;4694500
0;185500;4809500
0;192500;4754500
0;195500;4395500
0;138500;4665500
0;270500;4803500
0;214500;4804500
0;179500;4659500
0;204500;4373500
0;259500;4781500
0;219500;4640500
0;239500;4788500
0;163500;4198500
0;333500;4467500
0;462500;4656500
0;203500;4818500
0;209500;4794500
0;446500;4766500
0;471500;4553500
0;432500;4502500
0;381500;4794500
0;344500;4395500
0;342500;4740500
0;339500;4047500
0;147500;4718500
0;289500;4019500
0;335500;4810500
0;210500;4816500
0;244500;4464500
0;437500;4785500
0;440500;4341500
0;219500;4811500
0;631500;4215500
0;447500;4222500
0;219500;4688500
0;458500;4075500
0;202500;4739500
0;166500;4749500
0;207500;4826500
0;298500;4770500
0;210500;4694500
0;196500;4784500
0;276500;4437500
0;434500;4768500
0;372500;4442500
0;31500;4731500
0;286500;4016500
0;445500;4800500
0;398500;4793500
0;452500;4514500
0;517500;4789500
0;195500;4671500
0;307500;4292500
0;285500;4017500
0;985500;4641500
0;206500;4787500
0;190500;4694500
0;237500;4657500
0;489500;4690500
0;212500;4780500
0;452500;4769500
0;61500;4688500
0;148500;4272500
0;217500;4687500
0;304500;4799500
0;216500;4743500
0;167500;4666500
0;61500;4707500
0;611500;4625500
0;464500;4447500
0;254500;4808500
0;192500;4671500
0;187500;4807500
